 Current-A, Current-B, Current-C
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.7961,3.8364,1.9548
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
1.9585,3.7472,1.8828
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
2.1148,3.6056,1.8657
