 Current-A, Current-B, Current-C
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.1734,1.7802,2.4994
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
3.0818,1.746,2.6117
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.9829,1.7045,2.735
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.8681,1.6947,2.8437
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
2.7143,1.6911,2.9805
