 Current-A, Current-B, Current-C
1.486,3.5873,2.442
1.486,3.5873,2.442
1.486,3.5873,2.442
1.486,3.5873,2.442
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.5617,3.5543,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.6349,3.4786,2.4041
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
1.707,3.3785,2.4273
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2808,1.862,3.2173
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.2357,1.9328,3.199
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.1978,1.978,3.1941
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.2112,2.0269,3.1367
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
2.1807,2.0781,3.1197
