 Current-A, Current-B, Current-C
3.0037,2.4737,2.0464
3.0037,2.4737,2.0464
3.0037,2.4737,2.0464
3.0037,2.4737,2.0464
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9951,2.5324,2.0061
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9609,2.5751,2
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.9988,2.5836,1.9621
2.1392,2.199,3.044
