 Current-A, Current-B, Current-C
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.7204,1.7949,2.8596
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6947,1.7778,2.8974
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6825,1.7656,2.9194
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
2.6679,1.7912,2.9133
