 Current-A, Current-B, Current-C
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4908,2.1844,2.7582
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4432,2.2015,2.7802
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.4017,2.2393,2.79
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.3553,2.282,2.7973
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8132,2.304,2.3504
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.8022,2.2149,2.4408
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.757,2.1587,2.5324
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.707,2.1404,2.5946
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.6117,2.149,2.6752
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.5165,2.1697,2.7473
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.4261,2.2173,2.7875
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.3639,2.2772,2.7998
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
2.2759,2.3822,2.79
